"";"GM_VOL_hipp_L";"WM_VOL_hipp_L";"CSF_VOL_hipp_L";"GM_VOL_hipp_R";"WM_VOL_hipp_R";"CSF_VOL_hipp_R";"Amygd_L_GM_VOL.3";"Amygd_L_WM_VOL.3";"Amygd_L_CSF_VOL.3";"Amygd_R_GM_VOL.4";"Amygd_R_WM_VOL.4";"Amygd_R_CSF_VOL.4";"Ant_temp_med_L_GM_VOL.5";"Ant_temp_med_L_WM_VOL.5";"Ant_temp_med_L_CSF_VOL.5";"Ant_temp_med_R_GM_VOL.6";"Ant_temp_med_R_WM_VOL.6";"Ant_temp_med_R_CSF_VOL.6";"Ant_temp_lat_L_GM_VOL.7";"Ant_temp_lat_L_WM_VOL.7";"Ant_temp_lat_L_CSF_VOL.7";"Ant_temp_lat_R_GM_VOL.8";"Ant_temp_lat_R_WM_VOL.8";"Ant_temp_lat_R_CSF_VOL.8";"Parahipp_L_GM_VOL.9";"Parahipp_L_WM_VOL.9";"Parahipp_L_CSF_VOL.9";"Parahipp_R_GM_VOL.10";"Parahipp_R_WM_VOL.10";"Parahipp_R_CSF_VOL.10";"Sup_Temp_Post_L_GM_VOL.11";"Sup_Temp_Post_L_WM_VOL.11";"Sup_Temp_Post_L_CSF_VOL.11";"Sup_Temp_Post_R_GM_VOL.12";"Sup_Temp_Post_R_WM_VOL.12";"Sup_Temp_Post_R_CSF_VOL.12";"Mid_Inf_Temp_L_GM_VOL.13";"Mid_Inf_Temp_L_WM_VOL.13";"Mid_Inf_Temp_L_CSF_VOL.13";"Mid_Inf_Temp_R_GM_VOL.14";"Mid_Inf_Temp_R_WM_VOL.14";"Mid_Inf_Temp_R_CSF_VOL.14";"Fusiform_L_GM_VOL.15";"Fusiform_L_WM_VOL.15";"Fusiform_L_CSF_VOL.15";"Fusiform_R_GM_VOL.16";"Fusiform_R_WM_VOL.16";"Fusiform_R_CSF_VOL.16";"Cerebelum_L_GM_VOL.17";"Cerebelum_L_WM_VOL.17";"Cerebelum_L_CSF_VOL.17";"Cerebelum_R_GM_VOL.18";"Cerebelum_R_WM_VOL.18";"Cerebelum_R_CSF_VOL.18";"Brainstem_L_GM_VOL.19";"Brainstem_L_WM_VOL.19";"Brainstem_L_CSF_VOL.19";"Brainstem_R_GM_VOL.20";"Brainstem_R_WM_VOL.20";"Brainstem_R_CSF_VOL.20";"Insul_L_GM_VOL.21";"Insul_L_WM_VOL.21";"Insul_L_CSF_VOL.21";"Insul_R_GM_VOL.22";"Insul_R_WM_VOL.22";"Insul_R_CSF_VOL.22";"Lat_Occip_L_GM_VOL.23";"Lat_Occip_L_WM_VOL.23";"Lat_Occip_L_CSF_VOL.23";"Lat_Occip_R_GM_VOL.24";"Lat_Occip_R_WM_VOL.24";"Lat_Occip_R_CSF_VOL.24";"Ant_Cingul_L_GM_VOL.25";"Ant_Cingul_L_WM_VOL.25";"Ant_Cingul_L_CSF_VOL.25";"Ant_Cingul_R_GM_VOL.26";"Ant_Cingul_R_WM_VOL.26";"Ant_Cingul_R_CSF_VOL.26";"Post_Cingul_L_GM_VOL.27";"Post_Cingul_L_WM_VOL.27";"Post_Cingul_L_CSF_VOL.27";"Post_Cingul_R_GM_VOL.28";"Post_Cingul_R_WM_VOL.28";"Post_Cingul_R_CSF_VOL.28";"Mid_Front_L_GM_VOL.29";"Mid_Front_L_WM_VOL.29";"Mid_Front_L_CSF_VOL.29";"Mid_Front_R_GM_VOL.30";"Mid_Front_R_WM_VOL.30";"Mid_Front_R_CSF_VOL.30";"Post_Temp_L_GM_VOL.31";"Post_Temp_L_WM_VOL.31";"Post_Temp_L_CSF_VOL.31";"Post_Temp_R_GM_VOL.32";"Post_Temp_R_WM_VOL.32";"Post_Temp_R_CSF_VOL.32";"Inf_Lat_Pariet_L_GM_VOL.33";"Inf_Lat_Pariet_L_WM_VOL.33";"Inf_Lat_Pariet_L_CSF_VOL.33";"Inf_Lat_Pariet_R_GM_VOL.34";"Inf_Lat_Pariet_R_WM_VOL.34";"Inf_Lat_Pariet_R_CSF_VOL.34";"Caudate_L_GM_VOL.35";"Caudate_L_WM_VOL.35";"Caudate_L_CSF_VOL.35";"Caudate_R_GM_VOL.36";"Caudate_R_WM_VOL.36";"Caudate_R_CSF_VOL.36";"Accumb_L_GM_VOL.37";"Accumb_L_WM_VOL.37";"Accumb_R_GM_VOL.38";"Accumb_R_WM_VOL.38";"Putamen_L_GM_VOL.39";"Putamen_L_WM_VOL.39";"Putamen_L_CSF_VOL.39";"Putamen_R_GM_VOL.40";"Putamen_R_WM_VOL.40";"Putamen_R_CSF_VOL.40";"Thal_L_GM_VOL.41";"Thal_L_WM_VOL.41";"Thal_L_CSF_VOL.41";"Thal_R_GM_VOL.42";"Thal_R_WM_VOL.42";"Thal_R_CSF_VOL.42";"Pallidum_L_GM_VOL.43";"Pallidum_L_WM_VOL.43";"Pallidum_L_CSF_VOL.43";"Pallidum_R_GM_VOL.44";"Pallidum_R_WM_VOL.44";"Pallidum_R_CSF_VOL.44";"C_Callosum_L_GM_VOL.45";"C_Callosum_L_WM_VOL.45";"C_Callosum_L_CSF_VOL.45";"C_Callosum_R_GM_VOL.46";"C_Callosum_R_WM_VOL.46";"C_Callosum_R_CSF_VOL.46";"Lat_Temp_Ventr_L_GM_VOL.47";"Lat_Temp_Ventr_L_WM_VOL.47";"Lat_Temp_Ventr_L_CSF_VOL.47";"Lat_Temp_Ventr_R_GM_VOL.48";"Lat_Temp_Ventr_R_WM_VOL.48";"Lat_Temp_Ventr_R_CSF_VOL.48";"Third_Ventr_L_GM_VOL.49";"Third_Ventr_L_WM_VOL.49";"Third_Ventr_L_CSF_VOL.49";"Third_Ventr_R_GM_VOL.50";"Third_Ventr_R_WM_VOL.50";"Third_Ventr_R_CSF_VOL.50";"Pre_Centr_Gyr_L_GM_VOL.51";"Pre_Centr_Gyr_L_WM_VOL.51";"Pre_Centr_Gyr_L_CSF_VOL.51";"Pre_Centr_Gyr_R_GM_VOL.52";"Pre_Centr_Gyr_R_WM_VOL.52";"Pre_Centr_Gyr_R_CSF_VOL.52";"Straight_Gyr_L_GM_VOL.53";"Straight_Gyr_L_WM_VOL.53";"Straight_Gyr_L_CSF_VOL.53";"Straight_Gyr_R_GM_VOL.54";"Straight_Gyr_R_WM_VOL.54";"Straight_Gyr_R_CSF_VOL.54";"Ant_Orbit_Gyr_L_GM_VOL.55";"Ant_Orbit_Gyr_L_WM_VOL.55";"Ant_Orbit_Gyr_L_CSF_VOL.55";"Ant_Orbit_Gyr_R_GM_VOL.56";"Ant_Orbit_Gyr_R_WM_VOL.56";"Ant_Orbit_Gyr_R_CSF_VOL.56";"Inf_Front_Brocca_L_GM_VOL.57";"Inf_Front_Brocca_L_WM_VOL.57";"Inf_Front_Brocca_L_CSF_VOL.57";"Inf_Front_Brocca_R_GM_VOL.58";"Inf_Front_Brocca_R_WM_VOL.58";"Inf_Front_Brocca_R_CSF_VOL.58";"Sup_Front_Gyr_L_GM_VOL.59";"Sup_Front_Gyr_L_WM_VOL.59";"Sup_Front_Gyr_L_CSF_VOL.59";"Sup_Front_Gyr_R_GM_VOL.60";"Sup_Front_Gyr_R_WM_VOL.60";"Sup_Front_Gyr_R_CSF_VOL.60";"Post_Centr_Gyr_L_GM_VOL.61";"Post_Centr_Gyr_L_WM_VOL.61";"Post_Centr_Gyr_L_CSF_VOL.61";"Post_Centr_Gyr_R_GM_VOL.62";"Post_Centr_Gyr_R_WM_VOL.62";"Post_Centr_Gyr_R_CSF_VOL.62";"Precuneus_L_GM_VOL.63";"Precuneus_L_WM_VOL.63";"Precuneus_L_CSF_VOL.63";"Precuneus_R_GM_VOL.64";"Precuneus_R_WM_VOL.64";"Precuneus_R_CSF_VOL.64";"Lingual_Gyr_L_GM_VOL.65";"Lingual_Gyr_L_WM_VOL.65";"Lingual_Gyr_L_CSF_VOL.65";"Lingual_Gyr_R_GM_VOL.66";"Lingual_Gyr_R_WM_VOL.66";"Lingual_Gyr_R_CSF_VOL.66";"Cuneus_L_GM_VOL.67";"Cuneus_L_WM_VOL.67";"Cuneus_L_CSF_VOL.67";"Cuneus_R_GM_VOL.68";"Cuneus_R_WM_VOL.68";"Cuneus_R_CSF_VOL.68"
"Gender";0,204006726478389;-0,215197827357467;-0,173175156954674;0,214774393148181;-0,161291314672683;-0,166691673719491;0,066445155445595;-0,148322490802517;-0,123926402296698;0,0962451459733579;-0,176165478643477;-0,230300242135109;0,139223248359575;-0,224220426385352;-0,21813995158023;0,19069399188272;-0,233825579726688;-0,21989435937487;-0,0103523719123245;-0,142377561292195;-0,190562929375558;0,0938569972068877;-0,0979880529426541;-0,214925824035128;0,0208634740385446;-0,024469751637766;-0,168701483829541;0,0220393710343556;-0,0597115516842597;-0,191007565729851;0,0547667367618081;-0,0424268127183259;-0,249809972428051;0,0857933496724511;-0,0268149703666553;-0,1338150747628;0,00425477010489822;-0,125552330701587;-0,165959203025254;0,073614734687948;-0,0720421275038985;-0,212940731992681;-0,0358592041366359;-0,222414502257368;-0,0213001147224971;-0,00288394901035029;-0,226918581321805;-0,0859777071180419;0,131478760837624;-0,139092484506205;-0,0878535440714028;0,109698303049347;-0,15338890267295;-0,0177920766127045;0,0685563138266432;0,0531286751225675;-0,173056579402392;0,0576974292894637;0,0714144747658408;-0,147339279468184;0,208927754294303;-0,046772724946902;-0,149997365443242;0,191414564476388;-0,0435065184804172;-0,155669792588466;0,134575980804339;-0,0795743721970679;-0,239178032046206;0,00667837417760066;-0,162080229619631;-0,165285293509999;0,16805612643566;-0,0149237286583835;-0,349674968071833;0,13419797799737;0,0423289943617997;-0,346948932956643;0,10387245549918;-0,0830621711242276;-0,311429118173771;0,128698113175579;-0,00395826461155274;-0,354615139555162;0,159943823377659;-0,021598814766967;-0,110580414781181;0,137981912052778;-0,0280365316761409;-0,145442694592348;0,151597043993651;-0,0517820838496071;-0,197996251317386;0,0389701950251496;-0,104549156339252;-0,164891421508443;0,221195794534542;-0,0610399553455752;-0,185354896349261;0,162363638067905;-0,0959515912239848;-0,157274396662302;0,173076738649354;0,0272280404603382;-0,157712997066801;0,144338821090977;0,0689728604912546;-0,0761817907785466;0,06739792558709;-0,0193707134937951;0,00944893664983184;0,124980359692025;0,0982169606721368;-0,160037935191716;-0,0480074848042626;0,123333842931776;-0,187373357033995;0,0307600026534067;0,295944791808782;-0,0727465255744437;-0,296674379845127;0,212205163018317;-0,0476860906702242;-0,212171088766778;0,063089906854535;0,0340176984869798;0,015475694530896;0,0943558705366964;0,0261044291856686;-0,0233664753322659;-0,085969565460105;0,0163317095950734;-0,174950349827507;-0,00458701301948538;0,0337461074210745;-0,147231652300406;0,230899939322751;0,084590700180704;-0,157386715011594;0,197846501324766;0,0490015535373793;-0,129727797248618;0,229964954866316;-0,000323629073171227;-0,265881571105999;0,224166717953124;0,127987050739349;-0,249897584395498;0,207466548726478;0,0812351886819392;-0,165367882024453;0,175397308844559;0,0249758880601513;-0,166670240432202;0,109430856993654;-0,046030113004371;-0,192140795278796;0,198471234647978;0,0956703679794263;-0,188578389689199;0,192914885656162;-0,0396619486354845;-0,159781730914516;0,164860311066754;-0,0754735606917721;-0,163099887402985;0,168199194276896;-0,0218640674425755;-0,122911855590181;0,171253819796896;0,0306319568950715;-0,0716553925685957;0,235617495797245;0,00983695757955956;-0,276138941578596;0,204490333326758;-0,00790835030867636;-0,250385238755342;0,327037972939798;0,0658274444793688;-0,166136393414319;0,30207410683668;0,0502588291635824;-0,0921072401590967;0,236912019647447;-0,0266397484923386;-0,196708059650954;0,17972520506837;-0,0568647864279811;-0,173770333158802;-0,0412318365173807;-0,212591334239275;-0,131401343548434;-0,0184381591841503;-0,195140158461313;-0,128268770542473;0,0102732949697544;-0,147205637554253;-0,231324229046094;0,0290685901675508;-0,169352521927724;-0,190458112669346
"Age";-0,449167339742076;-0,358172078296171;0,507631974872917;-0,467646985444435;-0,390352518190991;0,453472087679935;-0,222859046084757;-0,400232877599441;0,392979868432761;-0,269600287403495;-0,318945472422509;0,3100739722513;-0,122749878333234;-0,431035492643848;0,360330371224794;-0,138567520940343;-0,418795636157576;0,381300781792109;-0,117695279843678;-0,490889400414498;0,378162457240766;-0,0958855539108155;-0,489166762578812;0,370311922747385;-0,126384220874574;-0,413879078016662;0,442002157660115;-0,218236682176705;-0,416611101288557;0,397656297367494;-0,320201746103104;-0,457562343764838;0,523727042298909;-0,291630250527876;-0,436614330580832;0,584784510713098;-0,235935862003227;-0,508309382343;0,236631871704666;-0,253229999849039;-0,514466334893893;0,249465612417126;-0,0887319266176887;-0,237101752819711;0,253174897088502;-0,189322548502658;-0,279249783736025;0,422823405935638;-0,346786744441632;-0,394022994986294;0,479067920531349;-0,399605282361168;-0,295771490008549;0,504520640960109;-0,364445084668877;0,00535767001247354;0,477106635501709;-0,309922272613215;0,019820611622983;0,495991346103976;-0,0334989999687069;-0,320506572788623;0,490335534347738;-0,0844612791323922;-0,288915033673369;0,539335844705598;-0,133258969584729;-0,389111048794836;0,373113443118571;-0,247071351175583;-0,39839793518817;0,385564850095417;-0,0518567265328081;-0,296252715993058;0,234137166903225;-0,0213590880972905;-0,287124538637984;0,250775549782141;-0,34149902791489;-0,324170092307633;0,339373190048888;-0,298751724949528;-0,279525083138266;0,344757749278376;0,00268181857199751;-0,54719487602641;0,34662231762002;-0,012975061294155;-0,544813440632587;0,26118381027745;-0,259950018726002;-0,479772083433727;0,524709860508854;-0,365013230789234;-0,502710144932512;0,58378520628114;-0,193321000623362;-0,510099858728925;0,401227384880512;-0,178111151438307;-0,508449780934212;0,429982776188097;0,0306082793112537;-0,0110569652710775;0,541418012758599;0,0979667545994249;0,022108857847199;0,580519729495748;-0,167672471873468;-0,376219860470531;-0,209905626091289;-0,266968698190108;-0,199178825573867;-0,0842361044817538;0,0999271299805564;-0,202818234199677;-0,033081395376041;0,117584881761379;-0,257912897758155;-0,273479340884332;0,594661467403331;-0,394139442439946;-0,130651003353218;0,588584490552532;0,33374452066068;-0,481213993570795;0,187906444928692;0,261074714141057;-0,407945658269935;0,120207832780687;0,0142461937785846;-0,30622638567036;0,481291348545575;0,126834504873172;-0,288197183777571;0,489136369302096;-0,169196377033433;-0,383440738666509;0,535111609846001;-0,00988492600259162;-0,32418960889384;0,554485212876909;-0,405957989253021;0,120535439942891;0,554848751286845;-0,492727169915609;-0,0567834165030261;0,578657683504054;-0,0296792007094536;-0,400444526203853;0,383946592385525;-0,136921384335415;-0,382681398246657;0,405345532451198;-0,112414379274026;-0,301658046094379;0,452397327015567;-0,0483605779282326;-0,364217591340333;0,266622301683676;-0,0550405810184839;-0,454113230750841;0,200044331856869;-0,0375315949285017;-0,40568465180844;0,193551210645975;-0,178119691092021;-0,352840662777881;0,356352280476709;-0,128064600272178;-0,313162542638172;0,402378160664138;0,122470538279274;-0,479144295578119;0,270452922595251;0,145091402222046;-0,457883712593302;0,18174088349463;-0,0833853038107499;-0,380331015520986;0,326947570573687;-0,0705332279961573;-0,340163707513767;0,38052815821742;0,0226509279972753;-0,472081041312673;0,265236436587438;0,0172041608208779;-0,47433341653012;0,333877813886352;-0,205840015034638;-0,192262766526078;0,612759826408722;-0,223175463513237;-0,248981294008016;0,618877386897248;-0,18982190015344;-0,151828283367558;0,505883882493368;-0,149009719725585;-0,200681117326063;0,548529673472657
"CSF_Result";-0,274468386706178;-0,158478483297224;0,237626583996361;-0,24192834493344;-0,13030780948965;0,202957948897329;-0,171770380276738;-0,173183944207645;0,173753288660679;-0,169166534700485;-0,114170968378874;0,111863437226615;-0,0115148259831305;-0,122101364936629;0,149726127445071;-0,00822488940594371;-0,127914532502513;0,140816143513171;0,0448734835684213;-0,0888077973262455;0,116986978392957;-0,0125851757182789;-0,149136293876116;0,120036170087593;-0,11236020044224;-0,187136310663868;0,186047350592873;-0,0870748177155706;-0,125911564037564;0,154394392445258;-0,118606989621347;-0,136423164803545;0,230542787565356;-0,159441367925048;-0,153970698906823;0,209653803471083;-0,00682587568691347;-0,131625815427843;0,10746518976401;-0,0493859094858752;-0,134401289452221;0,134735380298784;-0,0683736014840188;-0,0157700381737987;0,108947474446626;-0,0564303249297701;-0,0128283613801012;0,146386368118425;-0,210531005536738;-0,224138537902182;0,155064607451296;-0,254315570484427;-0,187393423699295;0,186176647928612;-0,242822005796943;-0,0291948429361839;0,218145704705364;-0,226624514936494;-0,0228452963624266;0,226274105089283;-0,120993127046675;-0,0441983285117062;0,1063121739399;-0,142817978897673;-0,0472463844784752;0,141412176261686;-0,0504316786283833;-0,129020551324818;0,111311225907931;-0,128213834273367;-0,138987519909135;0,181064875125559;-0,101829960312946;-0,103174074456355;0,0029615493930651;-0,0461799349188383;-0,0615474727374481;0,00569585834995656;-0,201728731408904;-0,0589715481817771;0,0577351469901022;-0,206637103819224;-0,0608744466530547;0,0899215934434239;-0,0404610876417511;-0,194297070209403;0,023442343566405;-0,00771085055032601;-0,18488279343637;0,0312788500763411;-0,110134972326969;-0,113070197728767;0,244197147372039;-0,192316027700323;-0,147038390387528;0,263975658405774;-0,0465964446787184;-0,160901609443415;0,1358935651851;-0,032784189823711;-0,159706147238577;0,174804923189528;-0,0483226666979273;0,093242056030726;0,271596646955589;-0,0336439678520633;0,0713721795384423;0,271506855784539;-0,126842455942918;-0,146483097621524;-0,140923341722742;-0,103306044753639;-0,144963995102868;0,00491691588048429;-0,0711159115484719;-0,141914248651361;0,0490219028150611;-0,0311778274886604;-0,161461243285509;-0,137218399457171;0,245694715619831;-0,246925375049366;-0,0585674684626768;0,237319587301567;0,13890517341017;-0,193684310258257;0,0234707176245606;0,09538568252345;-0,162301016420317;0,0330734515329235;-0,0938978662639679;-0,0273163460763505;0,251874365089678;-0,0311451753575983;-0,0271909629301316;0,251119889659542;-0,122906889019146;-0,142620524327065;0,277464601066004;-0,0785226572647294;-0,0867773821012618;0,281081062740179;-0,169823121212195;0,0854717889494487;0,220898937397785;-0,292079607295931;0,0690757259438887;0,249685102920181;-0,0258817159641257;-0,173243785771405;0,0454505836313731;-0,01635859518776;-0,128349594760843;-0,00908423020408378;-0,0983414490656665;-0,112732185480378;0,158646614885002;-0,0826056832637155;-0,166758682111385;0,0932788697709552;-0,0711547402001879;-0,134092125404655;0,0933055948643177;-0,0453894136062873;-0,0924216035099469;0,0992060612846654;-0,0279077217698041;-0,0515911843957911;0,137134986255555;-0,100967586654578;-0,0965423645661107;0,146660403701828;0,0233784184659605;-0,135089234091238;-0,0544007842238063;-0,0151338923362728;-0,162569164338246;-0,0957281775039085;-0,0382398304916648;-0,153094753257873;0,0370921971408945;-0,0431162178075948;-0,110085272948678;0,0102289205502346;0,063463543130385;-0,16043473270518;-0,0287361536003724;0,0309966681379359;-0,151313671688787;-0,00806531435353148;-0,167458468329206;-0,11057397040395;0,198993256416303;-0,196203015853302;-0,179042184335454;0,205402340724558;-0,0951815466079102;-0,0953773754308725;0,175507264082146;-0,113985493897204;-0,100435974758888;0,195030188245226
"CSF_AB42_Cutoff_LUD/Sant_pau";-0,271195427997277;-0,165267843193996;0,259293123719663;-0,252648944248315;-0,173531514006698;0,216404523136746;-0,146932347648864;-0,19463082901876;0,203369819171727;-0,185955065909236;-0,168436511658902;0,0826341823158674;-0,0196533719138046;-0,144605903264429;0,157098094217859;-0,0442350851781646;-0,197135134249661;0,135111668397751;0,0407527457322259;-0,162961157880529;0,147219294472471;-0,0103794486547353;-0,227092809814418;0,164944511167478;-0,12530992926207;-0,203347670305121;0,179742739962974;-0,159771177641092;-0,173121880684851;0,147122473640996;-0,139468207302385;-0,208348077286104;0,278811559203877;-0,161345300924019;-0,215425906706409;0,285416188489763;0,000237188131283471;-0,169008667238407;0,164911952644925;-0,0610549199869343;-0,187338177583307;0,20028593286199;-0,092706058005501;-0,0588741784434886;0,13784547319567;-0,0675899741865891;-0,085494952131352;0,179746234038272;-0,227810857976711;-0,278208115018935;0,194802214622491;-0,295996162352164;-0,226856471989827;0,215989756762333;-0,311697144001411;-0,0647092901412483;0,251450860981759;-0,318370389524599;-0,0568948489583255;0,268240532675508;-0,131870135644822;-0,059743320435407;0,138005833773885;-0,177709021708622;-0,0560544517529151;0,192657702343669;-0,0672552612331926;-0,171579884243472;0,170012059982571;-0,15641916751548;-0,19243281058341;0,205324440772213;-0,103034893518735;-0,1247536540848;0,0100217020892095;-0,0512613784893887;-0,0851050263840874;0,0176418135116718;-0,191336214297254;-0,0721777408035626;0,0528577556979692;-0,210438309492504;-0,0979360850252451;0,101363413578063;-0,0406101460298083;-0,240298114392616;0,0698405546625323;-0,00806333685636513;-0,221929092424404;0,0744530107813282;-0,123764051428358;-0,167481829096286;0,302149406397511;-0,211595823152155;-0,206816534840583;0,333709461185545;-0,0546295356969232;-0,199050520062962;0,226675963821446;-0,026515968297021;-0,197409420489916;0,258059161443873;-0,0446076816211409;0,101553919069173;0,323485961673535;-0,00977519279447584;0,0992436410793385;0,341401549658554;-0,114787779276232;-0,201960100044617;-0,155965376056018;-0,137398104285833;-0,142600836214375;-0,00280456503203696;-0,048363784111259;-0,158943944991233;0,051210921728535;-0,00109141179302618;-0,202063256147756;-0,112848986139434;0,285800946297694;-0,325558567197838;-0,00780062867600762;0,272800534284285;0,126925949897382;-0,219458675276425;0,0521704075393569;0,0843046034712901;-0,167529773750121;0,0469074052097752;-0,102289215956199;-0,00436371687287808;0,299695100107199;-0,0411695590593797;-0,0108233703935979;0,30659759836912;-0,13543744240262;-0,170069592586419;0,327316607061303;-0,082980497309645;-0,121903732846772;0,334544151737758;-0,26713382382439;0,102581041209619;0,281577894227926;-0,387417852829076;0,104083725256865;0,312285998135148;-0,0193353125162253;-0,246736550313332;0,0232015699506367;-0,0238881636405064;-0,189371889165158;-0,0315914797615438;-0,0866704979561859;-0,153262025731314;0,177265814534427;-0,0949795954658892;-0,222250745272532;0,113438365801761;-0,0560798622056912;-0,18726756276041;0,129533922442637;-0,036476861891987;-0,129145457632372;0,143519362329747;-0,0408494285155567;-0,113729695676489;0,183788828044549;-0,106123599298122;-0,13348822720071;0,187845231813598;0,0210565461485378;-0,184880328100063;-0,0748018368544188;-0,0132139407443241;-0,215160951580572;-0,11259102053686;-0,0335868698576047;-0,211544986067337;0,0260034851536739;-0,0536995000233098;-0,1605490567379;0,0169709683186124;0,0842653242240291;-0,198839627658527;-0,0409976620683345;0,0619996328994421;-0,181895641453983;-0,0085154607349062;-0,158955097734062;-0,174722291384179;0,259827571100653;-0,195104757856729;-0,257179345226469;0,250510198297446;-0,141095400843297;-0,181307312669516;0,228053164249633;-0,149551100490275;-0,179270917454607;0,237242730979146
"CSF_TTAU_Cutoff_LUD/Sant_pau";-0,114593102200487;-0,0609685864061532;0,0741749172802003;-0,0914517723513067;-0,0236720178003389;0,104024616032367;-0,13496980466197;-0,0246142033526066;0,00750122730917653;-0,0958354862370951;0,000351637656343112;0,094505200491362;-0,0709387179761445;-0,0793952153604186;0,100711557340399;-0,0650560662040512;-0,0439533550789555;0,149866604918952;-0,0674451544239549;0,00691531968635857;0,0820560364798898;-0,0841295067383442;-0,00615300917548199;0,0624964863327283;-0,0512669277266713;-0,0655025592195711;0,0806996178833266;-0,015730090503593;-0,00161906512129693;0,120886519045096;-0,0905733179523021;0,000141645156995872;0,0533127466764489;-0,0294918089405345;0,0522338267560004;0,0501707062053855;-0,0565190140614117;-0,029524740765804;0,01287292678397;-0,112722632525029;-0,0575782218019764;0,0022850799878236;-0,0947221235152414;0,00401042000903721;0,0619820572809872;-0,115679971094467;0,0346843677490736;0,0384918868872231;0,0342988601376473;0,00988324104159065;0,00441078219861144;0,0440427491624707;0,00646873209177476;0,0371345409036409;0,0473332581341515;0,0893202010420869;0,0258474800696625;0,0864414733877193;0,0924430417156043;0,0384234695520548;-0,00800744419985544;-0,0102633951885199;0,086011109269068;-0,0187690925172591;-0,0300794115724252;0,0890700974549902;-0,00773466636608795;-0,0113594811818861;-0,0567681537281362;-0,0521781139720423;-0,00115759772282693;0,0143313040138472;-0,0460718503551621;-0,0259326998816178;0,0970192824099217;0,0202276204869156;0,0228820344932016;0,0773295168387259;-0,101532960859678;-0,0439560487326957;0,0632718245642655;-0,0689392748144833;0,038515439830061;0,0363443540369033;-0,0543076228323462;-0,0274184453512083;0,0242952639172502;-0,0524260932837553;-0,0392725777440827;0,0206174229076478;-0,104487255234798;-0,0217090417375925;0,0170750810903706;-0,120868687729337;-0,0301676579438726;0,0271043589159368;-0,0502504484717354;-0,0380454374474378;-0,0612330575322277;-0,060116335294095;-0,0434212752997958;-0,013203659144249;-0,0126632809088629;0,0539101246582945;0,0423198897582232;-0,0604907249409639;0,0186573403390524;0,0372131068763052;-0,0545955495193705;0,0670491439533192;-0,0818035414340415;0,0201231433953421;-0,018319890979717;-0,0155876076054002;-0,0303293406788879;-0,0145217928429459;-0,0339453431370081;-0,0701448404616882;0,000152858980244825;-0,025505111509048;0,0542158300547948;0,0136448015766169;-0,018543730758378;0,0620625224999212;0,164300596421524;-0,0232144346369672;-0,0301742727023422;0,121472446772431;-0,033065425500045;0,013788600685084;-0,0409417324712039;-0,0652438157897044;0,0299904006924423;0,032650675942205;-0,061911508169624;0,0224411705163565;-0,039707255256032;-0,0439569350993121;0,0302500452491494;-0,0299718073805499;-0,00615901899072925;0,0334891165458612;0,0659101881700987;-0,0298340571782581;0,0196968742411597;0,0355746080851515;-0,0410772199415358;0,034128359654883;0,0371532223713713;0,0734507733591903;0,104860126168891;0,0657516368967739;0,0774561673373131;0,120066612865041;-0,0599120967226476;0,0625949732975524;0,102484000635086;-0,0343290725692466;0,0211071639300582;0,0754710039010605;-0,0710782074032205;0,00142484350228738;0,0312366878362149;-0,109014132052929;-0,0614618834800772;0,0342158632073069;-0,00306589645950425;0,0356090263884068;0,0779942845107056;-0,0587948064872204;-0,0244867598171326;0,0685520234246836;0,00446380547828947;0,009951522080584;0,1175110501653;-0,0472385670820326;-0,0244307127578234;0,105658271060705;-0,00329540601008482;0,0680773168807429;0,123451423839668;-0,0156344032228612;0,0211570453995973;0,0624004712514233;-0,0434900987227937;-0,0486779938547901;0,0661217022564234;-0,0768534934503314;-0,0630694998648568;0,0613484740013618;-0,0242603803247032;0,0744363153885586;0,00704884764782434;-0,0312431374422896;0,0667366421801558;0,0441408369342941;0,0255947076147879;0,109774089899099;-0,0225910176935551;-0,006094174838904;0,0853914067749047;-0,0040754963741878
